[2026-01-21 09:57:04] CYCLE: 001 | IF: EMPTY000000000000000 | EX: EMPTY000000000000000 | 
[2026-01-21 09:57:04] CYCLE: 002 | IF: ADD R1, R20000000000 | EX: EMPTY000000000000000 | 
[2026-01-21 09:57:04] CYCLE: 003 | IF: SUB R3, R40000000000 | EX: ADD R1, R20000000000 | 
[2026-01-21 09:57:04] CYCLE: 004 | IF: MUL R1, R30000000000 | EX: SUB R3, R40000000000 | 
[2026-01-21 09:57:04] CYCLE: 005 | IF: DIV R2, R40000000000 | EX: MUL R1, R30000000000 | 
[2026-01-21 09:57:04] CYCLE: 006 | IF: MOV R1, 0x0500000000 | EX: DIV R2, R40000000000 | 
[2026-01-21 09:57:04] CYCLE: 007 | IF: LOAD R2, 0x800000000 | EX: MOV R1, 0x0500000000 | 
[2026-01-21 09:57:04] CYCLE: 008 | IF: STORE R3, 0x81000000 | EX: LOAD R2, 0x800000000 | 
[2026-01-21 09:57:04] CYCLE: 009 | IF: JMP 0x10000000000000 | EX: STORE R3, 0x81000000 | 
[2026-01-21 09:57:04] CYCLE: 010 | IF: AND R1, R20000000000 | EX: JMP 0x10000000000000 | STATUS: FLUSH
[2026-01-21 09:57:04] CYCLE: 011 | IF: EMPTY000000000000000 | EX: EMPTY000000000000000 | STATUS: FLUSH
[2026-01-21 09:57:04] CYCLE: 012 | IF: EMPTY000000000000000 | EX: EMPTY000000000000000 | STATUS: FLUSH
[2026-01-21 09:57:04] CYCLE: 013 | IF: EMPTY000000000000000 | EX: EMPTY000000000000000 | STATUS: FLUSH
[2026-01-21 09:57:04] CYCLE: 014 | IF: EMPTY000000000000000 | EX: EMPTY000000000000000 | STATUS: FLUSH
[2026-01-21 09:57:04] CYCLE: 015 | IF: EMPTY000000000000000 | EX: EMPTY000000000000000 | STATUS: FLUSH
[2026-01-21 09:57:04] CYCLE: 016 | IF: EMPTY000000000000000 | EX: EMPTY000000000000000 | STATUS: FLUSH
[2026-01-21 09:57:04] CYCLE: 017 | IF: EMPTY000000000000000 | EX: EMPTY000000000000000 | STATUS: FLUSH
[2026-01-21 09:57:04] CYCLE: 018 | IF: EMPTY000000000000000 | EX: EMPTY000000000000000 | STATUS: FLUSH
