Cycle   0 | State:0 | PC:0 IR:00 ACC:000 R0:000 R1:000 R2:000 R3:000 Z:0 C:0 | CTRL[PCw=1 IRw=1 ACCw=0 REGw=0 MEMr=1 MEMw=0 ALUop=0 ALUsrc=0 PCsrc=0]
Cycle 001 | State:1 | PC:1 IR:35 ACC:000 R0:000 R1:000 R2:000 R3:000 Z:0 C:0 | CTRL[PCw=0 IRw=0 ACCw=0 REGw=0 MEMr=0 MEMw=0 ALUop=0 ALUsrc=0 PCsrc=0]
Cycle 002 | State:2 | PC:1 IR:35 ACC:000 R0:000 R1:000 R2:000 R3:000 Z:0 C:0 | CTRL[PCw=0 IRw=0 ACCw=1 REGw=0 MEMr=0 MEMw=0 ALUop=0 ALUsrc=0 PCsrc=0]
Cycle 003 | State:3 | PC:1 IR:35 ACC:005 R0:000 R1:000 R2:000 R3:000 Z:0 C:0 | CTRL[PCw=0 IRw=0 ACCw=0 REGw=0 MEMr=0 MEMw=0 ALUop=0 ALUsrc=0 PCsrc=0]
Cycle 004 | State:0 | PC:1 IR:35 ACC:005 R0:000 R1:000 R2:000 R3:000 Z:0 C:0 | CTRL[PCw=1 IRw=1 ACCw=0 REGw=0 MEMr=1 MEMw=0 ALUop=0 ALUsrc=0 PCsrc=0]
Cycle 005 | State:1 | PC:2 IR:41 ACC:005 R0:000 R1:000 R2:000 R3:000 Z:0 C:0 | CTRL[PCw=0 IRw=0 ACCw=0 REGw=0 MEMr=0 MEMw=0 ALUop=0 ALUsrc=0 PCsrc=0]
Cycle 006 | State:2 | PC:2 IR:41 ACC:005 R0:000 R1:000 R2:000 R3:000 Z:0 C:0 | CTRL[PCw=0 IRw=0 ACCw=1 REGw=0 MEMr=0 MEMw=0 ALUop=0 ALUsrc=0 PCsrc=0]
Cycle 007 | State:3 | PC:2 IR:41 ACC:005 R0:000 R1:000 R2:000 R3:000 Z:0 C:0 | CTRL[PCw=0 IRw=0 ACCw=0 REGw=0 MEMr=0 MEMw=0 ALUop=0 ALUsrc=0 PCsrc=0]
Cycle 008 | State:0 | PC:2 IR:41 ACC:005 R0:000 R1:000 R2:000 R3:000 Z:0 C:0 | CTRL[PCw=1 IRw=1 ACCw=0 REGw=0 MEMr=1 MEMw=0 ALUop=0 ALUsrc=0 PCsrc=0]
Cycle 009 | State:1 | PC:3 IR:62 ACC:005 R0:000 R1:000 R2:000 R3:000 Z:0 C:0 | CTRL[PCw=0 IRw=0 ACCw=0 REGw=0 MEMr=0 MEMw=0 ALUop=0 ALUsrc=0 PCsrc=0]
Cycle 010 | State:2 | PC:3 IR:62 ACC:005 R0:000 R1:000 R2:000 R3:000 Z:0 C:0 | CTRL[PCw=0 IRw=0 ACCw=1 REGw=0 MEMr=0 MEMw=0 ALUop=2 ALUsrc=0 PCsrc=0]
Cycle 011 | State:3 | PC:3 IR:62 ACC:000 R0:000 R1:000 R2:000 R3:000 Z:1 C:0 | CTRL[PCw=0 IRw=0 ACCw=0 REGw=0 MEMr=0 MEMw=0 ALUop=0 ALUsrc=0 PCsrc=0]
Cycle 012 | State:0 | PC:3 IR:62 ACC:000 R0:000 R1:000 R2:000 R3:000 Z:1 C:0 | CTRL[PCw=1 IRw=1 ACCw=0 REGw=0 MEMr=1 MEMw=0 ALUop=0 ALUsrc=0 PCsrc=0]
Cycle 013 | State:1 | PC:4 IR:f0 ACC:000 R0:000 R1:000 R2:000 R3:000 Z:1 C:0 | CTRL[PCw=0 IRw=0 ACCw=0 REGw=0 MEMr=0 MEMw=0 ALUop=0 ALUsrc=0 PCsrc=0]
Cycle 014 | State:2 | PC:4 IR:f0 ACC:000 R0:000 R1:000 R2:000 R3:000 Z:1 C:0 | CTRL[PCw=0 IRw=0 ACCw=0 REGw=0 MEMr=0 MEMw=0 ALUop=0 ALUsrc=0 PCsrc=0]
Cycle 015 | State:3 | PC:4 IR:f0 ACC:000 R0:000 R1:000 R2:000 R3:000 Z:1 C:0 | CTRL[PCw=0 IRw=0 ACCw=0 REGw=0 MEMr=0 MEMw=0 ALUop=0 ALUsrc=0 PCsrc=0]
Cycle 016 | State:4 | PC:4 IR:f0 ACC:000 R0:000 R1:000 R2:000 R3:000 Z:1 C:0 | CTRL[PCw=0 IRw=0 ACCw=0 REGw=0 MEMr=0 MEMw=0 ALUop=0 ALUsrc=0 PCsrc=0]

Program finished.
